ID_Produto,Produto,Preco_Unitario,Satisfacao_Media,Material,Data_Fabricacao
P0074,Regata Esportiva Preta 74,358.51,4.2,Algodão,2021-03-18
P0075,Saia Midi Azul 75,51.95,4.5,Poliéster,2025-02-11
P0076,Jaqueta Corta-Vento Verde 76,204.61,4.4,Nylon,2022-09-09
P0077,Conjunto Moletom Preta 77,148.35,4.7,Algodão/Poliéster,2025-10-30
P0078,Conjunto Esportivo Amarela 78,189.55,4.2,Poliéster,2025-12-22
P0079,Conjunto Esportivo Marrom 79,339.13,3.6,Poliéster,2024-05-06
P0080,Camiseta Slim Cinza 80,295.77,4.7,Algodão,2024-07-21
P0081,Moletom Estampado Amarela 81,385.23,3.9,Algodão/Poliéster,2021-04-18
P0082,Bermuda Jeans Rosa 82,197.64,4.1,Sarja,2026-01-16
P0083,Jaqueta Jeans Verde 83,114.72,4.7,Denim,2024-11-11
P0084,Vestido Casual Azul 84,122.12,4.5,Viscose,2023-03-07
P0085,Camiseta Estampada Azul 85,333.32,3.4,Algodão,2021-06-27
P0086,Camisa Linho Bege 86,180.6,4.6,Algodão,2023-11-11
P0087,Blazer Slim Vermelha 87,112.28,4.9,Poliéster,2026-02-07
P0088,Regata Básica Amarela 88,325.45,4.3,Algodão,2025-11-20
P0089,Vestido Floral Amarela 89,396.84,4.3,Viscose,2021-07-24
P0090,Jaqueta Corta-Vento Preta 90,122.6,4.3,Nylon,2025-04-26
P0091,Blusa Básica Branca 91,304.16,4.6,Viscose,2021-06-19
P0092,Calça Social Rosa 92,171.37,4.4,Sarja,2023-02-21
P0093,Saia Midi Rosa 93,259.38,3.8,Poliéster,2023-07-15
P0094,Vestido Longo Vermelha 94,363.41,4.6,Viscose,2021-02-16
P0095,Vestido Midi Preta 95,68.07,4.4,Viscose,2021-10-12
P0096,Bermuda Cargo Amarela 96,240.11,4.2,Sarja,2025-12-27
P0097,Jaqueta Jeans Vermelha 97,137.41,4.8,Denim,2024-07-26
P0098,Bermuda Jeans Azul 98,234.37,3.2,Sarja,2025-06-15
P0099,Camisa Social Branca 99,203.42,4.5,Algodão,2024-03-28
P0100,Bermuda Cargo Azul 100,145.26,4.4,Sarja,2023-07-19
P0101,Blazer Social Verde 101,277.7,4.1,Poliéster,2021-02-07
P0102,Regata Esportiva Branca 102,339.31,3.6,Algodão,2024-02-05
P0103,Blusa Social Verde 103,188.91,4.3,Viscose,2025-05-14
P0104,Camisa Flanela Verde 104,57.92,3.9,Algodão,2022-02-27
P0105,Regata Esportiva Azul 105,323.8,4.7,Algodão,2023-10-13
P0106,Blusa Canelada Cinza 106,221.98,4.5,Viscose,2023-05-03
P0107,Vestido Casual Amarela 107,321.4,4.1,Viscose,2025-12-07
P0108,Vestido Floral Bege 108,312.87,4.2,Viscose,2021-12-04
P0109,Regata Canelada Azul 109,380.88,4.6,Algodão,2021-08-06
P0110,Blusa Canelada Vermelha 110,202.39,4.3,Viscose,2022-03-12
P0111,Bermuda Jeans Azul 111,70.33,4.1,Sarja,2021-11-20
P0112,Camiseta Básica Marrom 112,204.74,3.9,Algodão,2025-10-18
P0113,Vestido Floral Amarela 113,57.9,4.2,Viscose,2022-06-24
P0114,Calça Social Preta 114,350.56,3.6,Sarja,2023-01-20
P0115,Conjunto Moletom Amarela 115,94.28,4.3,Algodão/Poliéster,2022-06-17
P0116,Calça Sarja Amarela 116,262.11,4.2,Sarja,2025-08-13
P0117,Vestido Casual Rosa 117,76.63,4.0,Viscose,2024-10-05
P0118,Bermuda Cargo Rosa 118,380.22,4.2,Sarja,2023-09-08
P0119,Regata Esportiva Azul 119,98.78,3.9,Algodão,2025-07-11
P0120,Vestido Longo Azul 120,91.86,3.9,Viscose,2021-05-27
P0121,Vestido Longo Amarela 121,356.37,4.6,Viscose,2024-11-04
P0122,Saia Midi Vermelha 122,306.31,4.8,Poliéster,2023-01-18
P0123,Jaqueta Corta-Vento Verde 123,145.89,4.3,Nylon,2023-02-24
P0124,Blusa Manga Longa Verde 124,220.69,3.7,Viscose,2021-11-24
P0125,Camisa Linho Preta 125,137.45,4.2,Algodão,2021-07-20
P0126,Camiseta Estampada Preta 126,349.57,3.9,Algodão,2024-12-06
P0127,Regata Canelada Cinza 127,65.59,4.0,Algodão,2025-10-25
P0128,Vestido Midi Rosa 128,218.76,3.6,Viscose,2026-03-01
P0129,Saia Casual Vermelha 129,97.48,3.6,Poliéster,2022-05-19
P0130,Camisa Linho Bege 130,123.84,4.7,Algodão,2025-04-28
P0131,Blusa Social Azul 131,97.51,5.0,Viscose,2021-08-19
P0132,Vestido Midi Preta 132,190.51,4.6,Viscose,2025-05-30
P0133,Calça Cargo Amarela 133,88.08,4.0,Sarja,2024-03-17
P0134,Conjunto Esportivo Amarela 134,300.95,4.6,Poliéster,2025-11-19
P0135,Calça Jeans Cinza 135,372.56,4.8,Sarja,2021-05-20
P0136,Saia Midi Preta 136,94.49,3.9,Poliéster,2025-05-26
P0137,Blazer Casual Bege 137,123.63,4.9,Poliéster,2023-08-25
P0138,Jaqueta Puffer Azul 138,272.37,4.5,Poliéster,2024-03-22
P0139,Moletom Canguru Preta 139,195.23,4.8,Algodão/Poliéster,2024-01-21
P0140,Calça Jogger Verde 140,264.36,4.9,Sarja,2025-01-17
P0141,Vestido Casual Vermelha 141,113.61,4.4,Viscose,2024-05-24
P0142,Calça Cargo Marrom 142,313.6,4.6,Sarja,2023-05-11
P0143,Regata Básica Azul 143,63.02,4.3,Algodão,2023-06-20
P0144,Conjunto Moletom Azul 144,346.08,5.0,Algodão/Poliéster,2021-05-27
P0145,Calça Jogger Verde 145,223.99,4.7,Sarja,2025-02-07
P0146,Calça Jogger Marrom 146,95.22,3.8,Sarja,2024-12-30
P0147,Blusa Básica Verde 147,361.61,4.4,Viscose,2024-03-19
P0148,Calça Sarja Branca 148,231.0,4.2,Sarja,2025-02-02
P0149,Saia Plissada Verde 149,309.93,4.8,Poliéster,2022-07-11
P0150,Conjunto Moletom Preta 150,325.96,4.7,Algodão/Poliéster,2022-04-08
P0151,Blusa Básica Marrom 151,212.86,5.0,Viscose,2026-03-29
P0152,Vestido Longo Bege 152,269.51,4.1,Viscose,2026-05-28
P0153,Blazer Social Branca 153,254.39,5.0,Poliéster,2025-10-31
P0154,Blazer Slim Vermelha 154,146.53,4.5,Poliéster,2021-04-19
P0155,Blazer Social Azul 155,104.36,4.8,Poliéster,2024-02-10
P0156,Jaqueta Corta-Vento Preta 156,149.93,4.6,Nylon,2025-03-03
P0157,Camisa Linho Marrom 157,118.0,4.4,Algodão,2021-03-18
P0158,Calça Jogger Rosa 158,377.46,4.8,Sarja,2026-06-27
P0159,Blazer Slim Branca 159,209.48,4.0,Poliéster,2025-06-17
P0160,Camisa Manga Curta Azul 160,337.04,3.7,Algodão,2022-10-02
P0161,Camisa Linho Amarela 161,288.54,4.6,Algodão,2023-11-14
P0162,Calça Cargo Marrom 162,291.29,4.7,Sarja,2026-03-03
P0163,Camiseta Estampada Bege 163,191.91,4.6,Algodão,2025-11-02
P0164,Camiseta Estampada Preta 164,62.36,4.1,Algodão,2025-09-06
P0165,Bermuda Moletom Vermelha 165,235.73,4.5,Sarja,2026-07-29
P0166,Jaqueta Jeans Preta 166,155.74,5.0,Denim,2025-03-20
P0167,Moletom Canguru Marrom 167,363.59,4.5,Algodão/Poliéster,2026-04-20
P0168,Regata Canelada Preta 168,376.61,4.0,Algodão,2026-05-28
P0169,Saia Midi Amarela 169,316.13,4.2,Poliéster,2021-02-10
P0170,Camiseta Básica Rosa 170,183.22,4.2,Algodão,2024-09-15
P0171,Blusa Básica Vermelha 171,348.71,4.0,Viscose,2022-11-22
P0172,Bermuda Cargo Marrom 172,259.29,3.7,Sarja,2023-10-21
P0173,Jaqueta Corta-Vento Rosa 173,186.6,4.8,Nylon,2021-12-14
P0174,Blazer Slim Marrom 174,160.94,4.7,Poliéster,2024-10-29
P0175,Regata Esportiva Azul 175,183.05,4.7,Algodão,2025-09-24
P0176,Calça Cargo Bege 176,238.67,4.5,Sarja,2023-05-03
P0177,Calça Cargo Azul 177,278.88,4.2,Sarja,2024-12-15
P0178,Bermuda Cargo Vermelha 178,297.98,4.6,Sarja,2022-11-04
P0179,Regata Canelada Vermelha 179,165.66,4.8,Algodão,2025-03-31
P0180,Bermuda Esportiva Amarela 180,302.1,4.7,Sarja,2021-06-20
P0181,Blazer Casual Preta 181,186.08,4.4,Poliéster,2025-12-26
P0182,Blusa Básica Bege 182,74.09,5.0,Viscose,2023-02-22
P0183,Blazer Social Amarela 183,100.04,4.5,Poliéster,2023-11-11
P0184,Conjunto Casual Marrom 184,76.06,4.0,Algodão,2025-07-20
P0185,Calça Sarja Azul 185,208.05,4.0,Sarja,2021-03-03
P0186,Blusa Básica Branca 186,205.73,4.0,Viscose,2026-05-11
P0187,Camisa Manga Curta Amarela 187,347.06,4.2,Algodão,2024-06-25
P0188,Conjunto Moletom Marrom 188,289.3,3.9,Algodão/Poliéster,2026-07-11
P0189,Blazer Casual Preta 189,396.54,4.7,Poliéster,2024-02-15
P0190,Blazer Slim Bege 190,175.57,4.0,Poliéster,2022-03-04
P0191,Regata Esportiva Azul 191,260.09,3.5,Algodão,2024-04-19
P0192,Vestido Casual Azul 192,156.42,4.4,Viscose,2024-03-28
P0193,Camisa Flanela Cinza 193,157.31,4.8,Algodão,2026-03-20
P0194,Camisa Linho Bege 194,266.08,4.7,Algodão,2024-04-06
P0195,Moletom Canguru Amarela 195,350.1,4.3,Algodão/Poliéster,2023-04-21
P0196,Camiseta Oversized Verde 196,265.76,4.6,Algodão,2021-12-31
P0197,Saia Plissada Branca 197,315.11,4.7,Poliéster,2022-11-06
P0198,Camisa Manga Curta Rosa 198,47.67,5.0,Algodão,2024-04-18
P0199,Blusa Social Rosa 199,131.67,4.3,Viscose,2023-02-03
P0200,Vestido Longo Bege 200,139.19,4.5,Viscose,2023-01-21
P0201,Camisa Linho Branca 201,187.84,4.2,Algodão,2021-01-31
P0202,Jaqueta Bomber Rosa 202,226.74,4.0,Poliéster,2026-05-04
P0203,Blazer Casual Marrom 203,330.93,4.0,Poliéster,2025-09-28
P0204,Calça Social Verde 204,319.41,3.9,Sarja,2022-06-13
P0205,Vestido Casual Amarela 205,99.9,4.2,Viscose,2021-10-12
P0206,Conjunto Casual Bege 206,355.2,4.1,Algodão,2025-09-24
P0207,Camiseta Estampada Bege 207,90.13,4.5,Algodão,2025-09-28
P0208,Blusa Manga Longa Bege 208,183.98,3.3,Viscose,2026-01-30
P0209,Camiseta Slim Azul 209,137.3,3.9,Algodão,2024-02-07
P0210,Moletom Com Capuz Marrom 210,77.47,4.4,Algodão/Poliéster,2025-03-03
P0211,Regata Canelada Marrom 211,108.28,4.8,Algodão,2025-02-18
P0212,Conjunto Moletom Cinza 212,213.59,4.0,Algodão/Poliéster,2022-03-21
P0213,Jaqueta Puffer Verde 213,339.93,3.8,Poliéster,2023-12-21
P0214,Blazer Slim Marrom 214,165.05,4.6,Poliéster,2022-06-23
P0215,Bermuda Esportiva Cinza 215,369.37,4.2,Sarja,2025-04-09
P0216,Camiseta Básica Vermelha 216,56.43,4.0,Algodão,2026-07-03
P0217,Conjunto Esportivo Branca 217,253.08,4.6,Poliéster,2021-06-08
P0218,Camisa Linho Vermelha 218,46.12,4.7,Algodão,2021-06-06
P0219,Moletom Básico Marrom 219,133.88,4.2,Algodão/Poliéster,2022-07-01
P0220,Camisa Flanela Rosa 220,392.25,3.8,Algodão,2021-08-31
P0221,Moletom Estampado Rosa 221,244.91,3.4,Algodão/Poliéster,2021-01-19
P0222,Regata Esportiva Preta 222,275.21,4.0,Algodão,2026-07-18
P0223,Conjunto Moletom Preta 223,80.58,4.2,Algodão/Poliéster,2024-04-20
P0224,Jaqueta Puffer Cinza 224,359.78,4.5,Poliéster,2025-05-27
P0225,Moletom Com Capuz Verde 225,87.25,4.5,Algodão/Poliéster,2024-03-17
P0226,Camisa Social Bege 226,214.12,3.7,Algodão,2025-03-25
P0227,Regata Esportiva Cinza 227,99.24,3.3,Algodão,2024-11-20
P0228,Camiseta Oversized Azul 228,323.36,4.5,Algodão,2021-11-28
P0229,Vestido Floral Rosa 229,89.19,4.5,Viscose,2021-11-08
P0230,Saia Midi Azul 230,377.92,4.5,Poliéster,2023-10-09
P0231,Vestido Midi Vermelha 231,375.37,4.8,Viscose,2023-02-07
P0232,Conjunto Casual Verde 232,198.15,4.8,Algodão,2025-10-06
P0233,Blusa Básica Verde 233,234.73,4.3,Viscose,2022-09-26
P0234,Conjunto Esportivo Cinza 234,254.92,3.9,Poliéster,2022-11-12
P0235,Calça Cargo Marrom 235,120.98,4.0,Sarja,2023-12-31
P0236,Camiseta Oversized Branca 236,388.9,4.1,Algodão,2022-02-03
P0237,Jaqueta Jeans Azul 237,292.45,5.0,Denim,2025-11-12
P0238,Camisa Social Preta 238,306.67,3.7,Algodão,2021-01-23
P0239,Calça Jeans Rosa 239,125.16,4.7,Sarja,2025-10-20
P0240,Conjunto Moletom Rosa 240,217.98,3.9,Algodão/Poliéster,2024-07-12
P0241,Conjunto Casual Vermelha 241,262.19,4.4,Algodão,2026-01-12
P0242,Regata Esportiva Cinza 242,239.39,4.5,Algodão,2022-08-31
P0243,Moletom Canguru Cinza 243,90.28,4.8,Algodão/Poliéster,2026-02-06
P0244,Vestido Casual Bege 244,81.54,3.7,Viscose,2025-11-22
P0245,Camisa Social Rosa 245,63.86,4.2,Algodão,2023-08-03
P0246,Vestido Casual Marrom 246,346.5,4.6,Viscose,2022-08-10
P0247,Calça Jogger Rosa 247,203.38,4.4,Sarja,2022-02-12
P0248,Moletom Estampado Vermelha 248,315.19,4.0,Algodão/Poliéster,2021-11-10
P0249,Bermuda Moletom Rosa 249,354.48,3.9,Sarja,2024-04-21
P0250,Blazer Casual Verde 250,80.27,4.4,Poliéster,2026-06-11
P0251,Vestido Longo Amarela 251,205.31,3.8,Viscose,2024-03-16
P0252,Moletom Com Capuz Amarela 252,113.04,4.0,Algodão/Poliéster,2026-06-20
P0253,Regata Básica Vermelha 253,110.18,4.7,Algodão,2025-04-13
P0254,Regata Básica Bege 254,69.83,4.4,Algodão,2024-11-18
P0255,Jaqueta Corta-Vento Bege 255,376.98,3.6,Nylon,2025-02-08
P0256,Regata Esportiva Marrom 256,232.48,4.7,Algodão,2026-04-05
P0257,Calça Jogger Azul 257,212.67,5.0,Sarja,2025-11-11
P0258,Blusa Canelada Preta 258,142.59,4.0,Viscose,2021-12-01
P0259,Conjunto Moletom Cinza 259,105.25,4.2,Algodão/Poliéster,2024-04-25
P0260,Blusa Social Bege 260,157.52,3.7,Viscose,2023-08-11
P0261,Blazer Slim Rosa 261,332.28,3.4,Poliéster,2025-12-25
P0262,Regata Básica Branca 262,224.18,4.5,Algodão,2022-02-27
P0263,Conjunto Esportivo Vermelha 263,145.21,3.9,Poliéster,2025-08-24
P0264,Saia Casual Branca 264,304.58,3.8,Poliéster,2023-09-18
P0265,Bermuda Esportiva Amarela 265,375.47,4.4,Sarja,2026-04-13
P0266,Moletom Canguru Vermelha 266,332.81,4.7,Algodão/Poliéster,2025-06-25
P0267,Moletom Estampado Bege 267,134.22,4.7,Algodão/Poliéster,2022-12-15
P0268,Vestido Casual Amarela 268,251.42,4.2,Viscose,2025-10-15
P0269,Camiseta Básica Preta 269,231.52,4.2,Algodão,2022-01-23
P0270,Regata Esportiva Rosa 270,121.94,5.0,Algodão,2021-01-09
P0271,Conjunto Casual Cinza 271,98.84,4.4,Algodão,2023-11-15
P0272,Blazer Slim Marrom 272,253.9,4.1,Poliéster,2023-03-17
P0273,Moletom Canguru Verde 273,180.25,3.9,Algodão/Poliéster,2021-09-18
P0274,Blazer Casual Marrom 274,147.01,4.3,Poliéster,2026-08-19
P0275,Conjunto Casual Rosa 275,249.72,3.3,Algodão,2021-03-22
P0276,Blusa Canelada Marrom 276,367.8,3.7,Viscose,2024-05-04
P0277,Blusa Social Amarela 277,165.37,4.8,Viscose,2022-06-25
P0278,Regata Básica Marrom 278,306.98,4.3,Algodão,2022-09-05
P0279,Bermuda Jeans Rosa 279,308.17,4.1,Sarja,2022-03-13
P0280,Blusa Manga Longa Azul 280,147.63,3.6,Viscose,2023-03-16
P0281,Blusa Manga Longa Rosa 281,45.08,4.1,Viscose,2024-10-12
P0282,Vestido Longo Verde 282,373.06,4.5,Viscose,2022-10-30
P0283,Jaqueta Puffer Rosa 283,313.7,3.5,Poliéster,2025-02-02
P0284,Bermuda Esportiva Marrom 284,77.63,4.4,Sarja,2023-07-16
P0285,Camiseta Estampada Marrom 285,220.9,4.5,Algodão,2025-06-13
P0286,Saia Jeans Branca 286,248.02,3.2,Poliéster,2023-07-09
P0287,Regata Básica Verde 287,380.19,3.4,Algodão,2023-01-27
P0288,Vestido Casual Preta 288,305.54,3.5,Viscose,2023-11-15
P0289,Blazer Casual Azul 289,339.92,3.6,Poliéster,2024-11-21
P0290,Blusa Básica Amarela 290,56.82,4.0,Viscose,2023-08-20
P0291,Saia Casual Amarela 291,114.68,4.8,Poliéster,2026-02-18
P0292,Vestido Casual Cinza 292,307.92,4.2,Viscose,2023-12-04
P0293,Blazer Social Preta 293,316.67,4.2,Poliéster,2022-09-05
P0294,Conjunto Esportivo Vermelha 294,85.45,3.7,Poliéster,2021-02-27
P0295,Calça Jeans Amarela 295,126.71,4.7,Sarja,2023-03-24
P0296,Camisa Social Preta 296,129.4,4.4,Algodão,2021-04-23
P0297,Camisa Manga Curta Verde 297,88.28,4.1,Algodão,2021-03-15
P0298,Vestido Longo Branca 298,127.51,3.7,Viscose,2023-02-07
P0299,Blazer Casual Cinza 299,337.39,4.5,Poliéster,2022-08-24
P0300,Calça Sarja Branca 300,55.28,3.8,Sarja,2026-01-05
P0301,Moletom Canguru Rosa 301,114.27,5.0,Algodão/Poliéster,2025-02-19
P0302,Calça Jogger Marrom 302,218.53,3.9,Sarja,2025-06-25
P0303,Blusa Manga Longa Vermelha 303,288.37,4.6,Viscose,2024-02-03
P0304,Regata Canelada Amarela 304,184.24,4.3,Algodão,2021-08-16
P0305,Camisa Social Preta 305,265.49,4.7,Algodão,2025-10-27
P0306,Regata Esportiva Bege 306,72.43,4.0,Algodão,2023-10-21
P0307,Conjunto Moletom Branca 307,274.14,4.0,Algodão/Poliéster,2023-06-07
P0308,Saia Casual Vermelha 308,250.42,3.9,Poliéster,2024-06-04
P0309,Calça Jeans Bege 309,144.36,4.1,Sarja,2021-12-05
P0310,Saia Jeans Azul 310,341.69,4.7,Poliéster,2023-09-23
P0311,Bermuda Esportiva Preta 311,347.79,4.0,Sarja,2024-06-07
P0312,Regata Canelada Bege 312,398.74,4.0,Algodão,2024-12-14
P0313,Vestido Midi Verde 313,103.65,3.9,Viscose,2023-11-01
P0314,Calça Social Verde 314,132.21,4.5,Sarja,2026-08-26
P0315,Calça Jeans Branca 315,264.34,3.6,Sarja,2026-08-11
P0316,Blazer Social Cinza 316,268.36,4.4,Poliéster,2021-07-19
P0317,Conjunto Esportivo Bege 317,338.06,4.8,Poliéster,2021-06-21
P0318,Camiseta Polo Branca 318,53.39,4.0,Algodão,2023-12-03
P0319,Bermuda Esportiva Vermelha 319,42.88,3.8,Sarja,2025-09-09
P0320,Bermuda Esportiva Bege 320,114.97,4.8,Sarja,2023-11-27
P0321,Calça Jogger Verde 321,283.42,4.9,Sarja,2022-03-26
P0322,Blusa Manga Longa Marrom 322,311.69,4.3,Viscose,2024-03-09
P0323,Jaqueta Jeans Amarela 323,188.13,4.6,Denim,2026-05-06
P0324,Camiseta Oversized Rosa 324,184.67,3.9,Algodão,2021-12-12
P0325,Conjunto Casual Preta 325,244.98,3.4,Algodão,2023-07-11
P0326,Bermuda Moletom Amarela 326,223.19,4.3,Sarja,2024-08-13
P0327,Vestido Casual Vermelha 327,339.12,3.3,Viscose,2023-03-25
P0328,Vestido Floral Azul 328,344.41,4.5,Viscose,2021-04-02
P0329,Jaqueta Jeans Bege 329,330.08,4.5,Denim,2024-10-17
P0330,Regata Básica Branca 330,312.62,4.7,Algodão,2025-03-14
P0331,Blazer Slim Vermelha 331,149.72,3.5,Poliéster,2024-09-17
P0332,Jaqueta Jeans Marrom 332,217.53,3.8,Denim,2024-10-04
P0333,Blazer Social Marrom 333,119.98,4.1,Poliéster,2024-09-20
P0334,Jaqueta Corta-Vento Bege 334,142.13,4.2,Nylon,2022-11-15
P0335,Moletom Básico Vermelha 335,298.19,4.3,Algodão/Poliéster,2021-02-04
P0336,Camisa Social Amarela 336,368.63,4.6,Algodão,2026-08-09
P0337,Regata Canelada Bege 337,388.86,4.1,Algodão,2022-02-28
P0338,Bermuda Cargo Bege 338,87.87,4.2,Sarja,2025-09-11
P0339,Camiseta Polo Branca 339,275.78,4.5,Algodão,2024-01-24
P0340,Bermuda Cargo Branca 340,259.94,4.2,Sarja,2024-01-22
P0341,Blusa Canelada Preta 341,136.57,3.8,Viscose,2021-02-13
P0342,Moletom Básico Preta 342,60.27,4.0,Algodão/Poliéster,2026-08-12
P0343,Blazer Social Branca 343,243.31,3.6,Poliéster,2023-12-30
P0344,Bermuda Moletom Cinza 344,399.12,4.3,Sarja,2025-09-14
P0345,Calça Jeans Amarela 345,213.68,4.8,Sarja,2025-05-29
P0346,Camisa Linho Branca 346,383.61,4.5,Algodão,2021-10-13
P0347,Moletom Estampado Preta 347,251.36,4.1,Algodão/Poliéster,2026-05-15
P0348,Blazer Casual Rosa 348,94.27,4.0,Poliéster,2024-05-07
P0349,Camisa Manga Curta Vermelha 349,105.9,4.5,Algodão,2022-01-19
P0350,Vestido Casual Rosa 350,343.01,4.3,Viscose,2024-04-16
P0351,Camiseta Polo Vermelha 351,101.96,4.0,Algodão,2024-06-29
P0352,Calça Jeans Marrom 352,338.14,4.5,Sarja,2024-09-12
P0353,Saia Casual Branca 353,287.42,4.3,Poliéster,2022-10-28
P0354,Jaqueta Jeans Rosa 354,44.22,3.8,Denim,2026-05-01
P0355,Conjunto Moletom Preta 355,376.23,4.1,Algodão/Poliéster,2022-05-06
P0356,Bermuda Jeans Preta 356,253.94,4.3,Sarja,2023-10-16
P0357,Saia Midi Branca 357,245.55,3.9,Poliéster,2025-10-02
